Method,RMSE,MAE,Bias,Variance,N,Innovation
MS AR,0.9653216389745042,0.730853981741823,0.04083975603967491,0.9301779809990429,300,Student-t(df=5)
Rolling SARIMA,0.9780946648074064,0.750957458919922,0.014275886556428015,0.9564653723877407,300,Student-t(df=5)
Global SARIMA,1.047602905320605,0.8032382191729375,0.012369956902163125,1.0973188314024114,300,Student-t(df=5)
