Method,RMSE,MAE,Bias,Variance,Coverage80,Coverage95,LogScore,N,Break Type,Innovation
GARCH,1.9306299442174446,1.551001426073907,-0.3835274832451301,3.5802386511047093,0.6666666666666666,0.8666666666666667,-2.226169497873658,30,Single,Gaussian
SARIMA Global,1.9857698446383387,1.586757679277432,-0.3770033595646344,3.801150342751951,0.6,0.7666666666666667,-2.5013826082080737,30,Single,Gaussian
SARIMA Avg-Window,2.0230259884386252,1.6011839388864717,-0.38396107913515026,3.9452080396074476,0.6666666666666666,0.7666666666666667,-2.3910135270407524,30,Single,Gaussian
SARIMA Rolling,2.0945137993085585,1.6455551958460348,-0.41708073982858895,4.213031711958009,0.6666666666666666,0.7666666666666667,-2.4030600873516588,30,Single,Gaussian
