Method,RMSE,MAE,Bias,Variance,Coverage80,Coverage95,LogScore,N,Break Type,Innovation
GARCH,1.7964073721349858,1.0749229716015813,-0.1044087851974094,3.2161782522345272,0.8566666666666667,0.92,-2.221750275639916,300,Single,Student-t(df=3)
SARIMA Global,1.808327816452911,1.0882709063612266,-0.10279050577573251,3.2594836036797226,0.8066666666666666,0.9066666666666666,-2.2833572868385796,300,Single,Student-t(df=3)
SARIMA Avg-Window,1.8130261696640284,1.0968789122482039,-0.11064748680422859,3.2748210255505263,0.8333333333333334,0.92,-2.2084220296465187,300,Single,Student-t(df=3)
SARIMA Rolling,1.8362545131048844,1.1142693534517845,-0.13035782726808678,3.3548374737680002,0.8433333333333334,0.92,-2.178890837892029,300,Single,Student-t(df=3)
