Method,RMSE,MAE,Bias,Variance,N,Innovation
MS AR,1.073506313847308,0.8456306930294333,0.03531777600391822,1.1511684605681722,300,Gaussian
Rolling SARIMA,1.0949975638225582,0.8651186728949031,0.04330176596389073,1.1971446218417456,300,Gaussian
Global SARIMA,1.1701647539714994,0.9297154525642543,0.028792374524596282,1.3684565506064155,300,Gaussian
