Method,RMSE,MAE,Bias,Variance,Coverage80,Coverage95,LogScore,N,Break Type,Innovation
GARCH,2.031110454754489,1.3335334150756888,0.28837265363486875,4.042250892048574,0.79,0.89,-2.1884419647843947,300,Single,Student-t(df=3)
SARIMA Global,2.0377555216247325,1.3493192643534777,0.29235371918388303,4.066976868791438,0.7233333333333334,0.8533333333333334,-2.3865980900175887,300,Single,Student-t(df=3)
SARIMA Avg-Window,2.057566372693737,1.368794412829607,0.28559933695336737,4.152012396771861,0.7833333333333333,0.8766666666666667,-2.2048547979012882,300,Single,Student-t(df=3)
SARIMA Rolling,2.0948107109004783,1.414708918706388,0.26801650675167144,4.316399066611999,0.7866666666666666,0.89,-2.1915825545645515,300,Single,Student-t(df=3)
