Method,RMSE,MAE,Bias,Variance,N,Innovation
Rolling SARIMA,0.8774896001943333,0.6418055916332754,-0.034541780337389985,0.7687948638603342,300,Student-t(df=3)
Global SARIMA,0.9642472569786213,0.6998963029166934,-0.0191486870224714,0.9294061003761108,300,Student-t(df=3)
MS AR,0.970156599182435,0.6560169345966189,0.01678921451158897,0.9409219492133117,300,Student-t(df=3)
