Method,RMSE,MAE,Bias,Variance,Coverage80,Coverage95,LogScore,N,Break Type,Innovation
GARCH,1.7579272336608838,1.3738568171038301,-0.12882412546525693,3.0737125035447193,0.77,0.93,-1.939460237820005,300,Single,Gaussian
SARIMA Avg-Window,1.760146146367063,1.3518248457321747,-0.1166315258649792,3.084511543745229,0.7233333333333334,0.9,-1.967503697372483,300,Single,Gaussian
SARIMA Global,1.7606220399117736,1.3602564456088662,-0.11355846416865446,3.086894442638751,0.6666666666666666,0.8566666666666667,-2.078247324438833,300,Single,Gaussian
SARIMA Rolling,1.780405993154449,1.3547230717858327,-0.11553814887360148,3.156496436615141,0.7533333333333333,0.9066666666666666,-1.9583917264750121,300,Single,Gaussian
