Method,RMSE,MAE,Bias,Var(error),N,Innovation
SARIMA + Break Dummy (oracle Tb),1.0581358086464299,0.8187995668204783,0.19535894829250602,1.0814862708618804,300,Gaussian
Simple Exp. Smoothing (SES),1.11442841983709,0.8645643154199325,0.10753041549140974,1.230387912684838,300,Gaussian
Holt-Winters (additive),1.1442392857280383,0.8822904427202972,0.08703829133536528,1.3017078788448315,300,Gaussian
SARIMA Rolling,1.1460377976530434,0.8770920220873919,0.23039902491456998,1.2603189229678533,300,Gaussian
SARIMA Global,1.1853173625134974,0.914312620491414,0.3546097143340521,1.2792292003758758,300,Gaussian
