Method,RMSE,MAE,Bias,Variance,Successes,Failures,N
MS AR,1.0778142001107311,0.8570036178471442,0.0408268045906719,1.16001662198725,300,0,300
Rolling SARIMA,1.1214984488424737,0.899011364920088,-0.002697067784236076,1.2577514965814418,300,0,300
Global SARIMA,1.1237755801879334,0.8951520513749969,-0.011399471486555622,1.2627416066765533,300,0,300
