Method,RMSE,MAE,Bias,Variance,Coverage80,Coverage95,LogScore,N,Break Type,Innovation
GARCH,1.9721315315523684,1.28855483987477,-0.08438603494657831,3.882181774849086,0.7666666666666667,0.8,-2.9966793999428862,30,Single,Student-t(df=3)
SARIMA Global,1.9815329397106447,1.2659817113797667,-0.09230957682681108,3.917951733184364,0.7666666666666667,0.8333333333333334,-2.7063687393789513,30,Single,Student-t(df=3)
SARIMA Avg-Window,2.0030608664726675,1.2437562540782356,-0.12760701193393392,3.995969285299525,0.8,0.8666666666666667,-2.9686802590386288,30,Single,Student-t(df=3)
SARIMA Rolling,2.0171406861020853,1.2385342364661098,-0.14767728451633547,4.047047967166273,0.7666666666666667,0.8666666666666667,-2.8579536475075695,30,Single,Student-t(df=3)
