Method,RMSE,MAE,Bias,Variance,N,Innovation
MS AR,1.1155556861439424,0.892392269028973,-0.05538749615606486,1.2413967141576439,300,Gaussian
Rolling SARIMA,1.1158215521987471,0.8844183894561107,-0.04979007156307771,1.242578685124965,300,Gaussian
Global SARIMA,1.1906198167558828,0.9439235767794553,-0.07502680912367159,1.4119465259645323,300,Gaussian
