Method,RMSE,MAE,Bias,Var(error),N,Innovation
SARIMA + Break Dummy (oracle Tb),1.0609781774955163,0.778475115455292,0.14510462806789468,1.1046193400349855,300,Student-t(df=5)
Simple Exp. Smoothing (SES),1.127820795209621,0.8284360594593064,0.036300573513316024,1.2706620144698666,300,Student-t(df=5)
Holt-Winters (additive),1.1599176817570862,0.8560797445041957,-0.0054423243199261265,1.3453794095587295,300,Student-t(df=5)
SARIMA Rolling,1.203333375358277,0.8658650554735051,0.21053133154322848,1.4036877706897792,300,Student-t(df=5)
SARIMA Global,1.2418817175924535,0.922679860710922,0.39032072303609566,1.3899199336589618,300,Student-t(df=5)
