Method,RMSE,MAE,Bias,Variance,Coverage80,Coverage95,LogScore,N,Break Type,Innovation
SARIMA Global,2.0475504047016737,1.6263345780779586,0.2020480723770584,4.151639236242702,0.5933333333333334,0.8066666666666666,-2.446500518232912,300,Single,Gaussian
SARIMA Avg-Window,2.0518437842560355,1.6330775339302792,0.18841693946785007,4.1745619719116975,0.6766666666666666,0.8733333333333333,-2.298120992214405,300,Single,Gaussian
GARCH,2.053502560735701,1.633814041445484,0.20237495927655103,4.175917142805896,0.7733333333333333,0.9133333333333333,-2.256940162187957,300,Single,Gaussian
SARIMA Rolling,2.0678140308029036,1.6503672894226964,0.1788932040360141,4.24385208753508,0.7333333333333333,0.8933333333333333,-2.2808832735068276,300,Single,Gaussian
