Method,RMSE,MAE,Bias,Variance,Coverage80,Coverage95,LogScore,N,Break Type,Innovation
SARIMA Global,2.2350569822665376,1.5565243293218038,0.1889890831891746,4.959762840413717,0.6466666666666666,0.83,-2.6417738978644487,300,Single,Student-t(df=5)
SARIMA Avg-Window,2.2381465429636624,1.5678403277631268,0.1848707643559099,4.975122748266656,0.72,0.8766666666666667,-2.4155287379450914,300,Single,Student-t(df=5)
GARCH,2.24376160234603,1.557493305718741,0.1922154985607294,4.997519330275475,0.7666666666666667,0.8866666666666667,-2.3549885584415446,300,Single,Student-t(df=5)
SARIMA Rolling,2.2702638477577906,1.608599768804358,0.16808916057431408,5.12584397253343,0.7533333333333333,0.8966666666666666,-2.3994077913785095,300,Single,Student-t(df=5)
