Method,RMSE,MAE,Bias,Var(error),Successes,Failures,N,Break Type
SARIMA + Midpoint Dummy (proxy Tb),1.0956681783048392,0.8906231841165372,0.028718134079990233,1.1996640257248086,300,0,300,Recurring (p=0.95)
SARIMA Global,1.1253216872436507,0.9019382803061528,0.1931444446502344,1.2290441232816496,300,0,300,Recurring (p=0.95)
SARIMA Rolling,1.1504442870093918,0.9284855843329395,0.1919145842907141,1.2866908498490703,300,0,300,Recurring (p=0.95)
Simple Exp. Smoothing (SES),1.1548362594184087,0.9101302964335803,0.02665362711725227,1.332936370228997,300,0,300,Recurring (p=0.95)
Holt-Winters (additive),1.1797919017228615,0.9234558715131476,0.011400987997689238,1.3917789488435228,300,0,300,Recurring (p=0.95)
