Method,RMSE,MAE,Bias,Variance,Coverage80,Coverage95,LogScore,N,Break Type,Innovation
SARIMA Rolling,2.2750079111230312,1.6035295675937715,0.02162264974205997,5.1751934566905105,0.7333333333333333,0.8666666666666667,-2.8313070311894646,30,Single,Student-t(df=5)
SARIMA Avg-Window,2.301403562382665,1.6410016355660642,-0.024009067371583027,5.295881921631565,0.6666666666666666,0.8666666666666667,-2.962773537042364,30,Single,Student-t(df=5)
SARIMA Global,2.3165433440921945,1.6435502328244798,0.04048179217871707,5.3647342895598475,0.5666666666666667,0.7666666666666667,-2.9999513836581735,30,Single,Student-t(df=5)
GARCH,2.3447166102277786,1.6489564462281683,0.10125199308396504,5.487444016174568,0.7,0.8333333333333334,-2.8087704892036167,30,Single,Student-t(df=5)
