Method,RMSE,MAE,Bias,Variance,Coverage80,Coverage95,LogScore,Var(error)
GARCH,1.7579272336608838,1.3738568171038301,-0.12882412546525693,3.0737125035447193,0.77,0.93,-1.939460237820005,
SARIMA Avg-Window,1.760146146367063,1.3518248457321747,-0.1166315258649792,3.084511543745229,0.7233333333333334,0.9,-1.967503697372483,
SARIMA Global,1.7606220399117736,1.3602564456088662,-0.11355846416865446,3.086894442638751,0.6666666666666666,0.8566666666666667,-2.078247324438833,
SARIMA Rolling,1.780405993154449,1.3547230717858327,-0.11553814887360148,3.156496436615141,0.7533333333333333,0.9066666666666666,-1.9583917264750121,
GARCH,1.8432323353426883,1.2883585649369915,0.00026559151644787765,3.3975053715140073,0.79,0.9333333333333333,-1.9965379087232658,
SARIMA Avg-Window,1.8655781517708838,1.3302895677486248,-0.015221752454046672,3.480150138617095,0.7633333333333333,0.9033333333333333,-2.066686870175596,
SARIMA Global,1.868334420370681,1.3133576018169781,-0.009795219953339604,3.4905775600079143,0.7066666666666667,0.8733333333333333,-2.1651844915042915,
SARIMA Rolling,1.872936027585629,1.335555776933127,-0.01580852241898574,3.507639454047165,0.7666666666666667,0.9066666666666666,-2.047737946475325,
GARCH,1.7964073721349858,1.0749229716015813,-0.1044087851974094,3.2161782522345272,0.8566666666666667,0.92,-2.221750275639916,
SARIMA Global,1.808327816452911,1.0882709063612266,-0.10279050577573251,3.2594836036797226,0.8066666666666666,0.9066666666666666,-2.2833572868385796,
SARIMA Avg-Window,1.8130261696640284,1.0968789122482039,-0.11064748680422859,3.2748210255505263,0.8333333333333334,0.92,-2.2084220296465187,
SARIMA Rolling,1.8362545131048844,1.1142693534517845,-0.13035782726808678,3.3548374737680002,0.8433333333333334,0.92,-2.178890837892029,
MS AR(1),1.4787282947842402,1.1690744881363495,-0.20569604707878553,2.1443265060116685,0.79,0.9033333333333333,-1.9858949192951518,
SARIMA Rolling,1.482576481579997,1.17308073440946,-0.1803027556236248,2.1655239400486503,0.8033333333333333,0.9466666666666667,-1.803462719974461,
SARIMA Avg-Window,1.4876354420649824,1.1766121703929002,-0.18198146094122733,2.179941956361572,0.8233333333333334,0.9533333333333334,-1.795020682840958,
SARIMA Global,1.4960485344843506,1.1794582375352414,-0.19781955994430214,2.1990286392362153,0.8266666666666667,0.9566666666666667,-1.8201943176766449,
SARIMA + Break Dummy (oracle Tb),1.0581358086464299,0.8187995668204783,0.19535894829250602,,,,,1.0814862708618804
Simple Exp. Smoothing (SES),1.11442841983709,0.8645643154199325,0.10753041549140974,,,,,1.230387912684838
Holt-Winters (additive),1.1442392857280383,0.8822904427202972,0.08703829133536528,,,,,1.3017078788448315
SARIMA Rolling,1.1460377976530434,0.8770920220873919,0.23039902491456998,,,,,1.2603189229678533
SARIMA Global,1.1853173625134974,0.914312620491414,0.3546097143340521,,,,,1.2792292003758758
SARIMA + Break Dummy (oracle Tb),1.107335555219705,0.7963785846592143,0.14657150344568212,,,,,1.2047088262314047
Simple Exp. Smoothing (SES),1.1173471178325296,0.8098754397780242,0.07903202622941528,,,,,1.2422185205587342
SARIMA Rolling,1.1533234247317792,0.8394989592007472,0.16980661368831582,,,,,1.3013206359827472
Holt-Winters (additive),1.1540087556367824,0.8284950488369026,0.0837400048573073,,,,,1.3247238196728532
SARIMA Global,1.18016666446286,0.8594360650462649,0.3084543934512779,,,,,1.2976492430699968
SARIMA + Break Dummy (oracle Tb),1.8711565498290328,0.7949190398602746,0.223885601964591,,,,,3.4511020712010425
SARIMA Rolling,1.919444759368469,0.8726130756842058,0.2262409532078126,,,,,3.6330832153586994
Simple Exp. Smoothing (SES),1.919764166294731,0.8783040599741385,0.13701220596556263,,,,,3.6667221096057534
SARIMA Global,1.9204271433365205,0.8857583542127179,0.3331022410917711,,,,,3.577083309843309
Holt-Winters (additive),1.9370284331698187,0.8964005585443034,0.12872092327235038,,,,,3.7355100748202372
SARIMA + Midpoint Dummy (proxy Tb),1.0956681783048392,0.8906231841165372,0.028718134079990233,,,,,1.1996640257248086
SARIMA Global,1.1253216872436507,0.9019382803061528,0.1931444446502344,,,,,1.2290441232816496
SARIMA Rolling,1.1504442870093918,0.9284855843329395,0.1919145842907141,,,,,1.2866908498490703
Simple Exp. Smoothing (SES),1.1548362594184087,0.9101302964335803,0.02665362711725227,,,,,1.332936370228997
Holt-Winters (additive),1.1797919017228615,0.9234558715131476,0.011400987997689238,,,,,1.3917789488435228
MS AR,1.1155556861439424,0.892392269028973,-0.05538749615606486,1.2413967141576439,,,,
Rolling SARIMA,1.1158215521987471,0.8844183894561107,-0.04979007156307771,1.242578685124965,,,,
Global SARIMA,1.1906198167558828,0.9439235767794553,-0.07502680912367159,1.4119465259645323,,,,
MS AR,1.1222545573845097,0.8028604985803877,-0.05489794170836222,1.2564415075664872,,,,
Rolling SARIMA,1.153061591543399,0.8137214085872109,-0.03455565625944963,1.328356940513075,,,,
Global SARIMA,1.2390580414020642,0.8700159979720942,-0.05955737815316838,1.5317177486706406,,,,
Rolling SARIMA,0.8774896001943333,0.6418055916332754,-0.034541780337389985,0.7687948638603342,,,,
Global SARIMA,0.9642472569786213,0.6998963029166934,-0.0191486870224714,0.9294061003761108,,,,
MS AR,0.970156599182435,0.6560169345966189,0.01678921451158897,0.9409219492133117,,,,
MS AR,1.1426000516924022,0.8921690290156759,0.025299518614480723,1.3048948124853559,,,,
Global SARIMA,1.1694507543069215,0.9117005470470458,0.004057964101049117,1.3675985996763818,,,,
Rolling SARIMA,1.1874680559133188,0.9256507788404315,0.005927188719228606,1.410045252248444,,,,
MS AR,1.0778142001107311,0.8570036178471442,0.0408268045906719,1.16001662198725,,,,
Rolling SARIMA,1.1214984488424737,0.899011364920088,-0.002697067784236076,1.2577514965814418,,,,
Global SARIMA,1.1237755801879334,0.8951520513749969,-0.011399471486555622,1.2627416066765533,,,,
MS AR,1.031787523564592,0.8042929360434155,-0.010238436445407336,1.0644806682027068,,,,
Rolling SARIMA,1.0668301418490729,0.8408400642311148,-0.012241457929295619,1.1379766982654784,,,,
Global SARIMA,1.0974023428361168,0.8514988567226773,-0.05818879304184385,1.2009059664265316,,,,
