Method,RMSE,MAE,Bias,Var(error),N,Innovation
SARIMA + Break Dummy (oracle Tb),1.105615530985738,0.7405225812587651,0.16549167268041265,1.1949982086303148,300,Student-t(df=3)
Simple Exp. Smoothing (SES),1.1327766295764476,0.777433598328017,0.06444719318541345,1.2790294518050984,300,Student-t(df=3)
Holt-Winters (additive),1.1371321995918968,0.8046301107765084,0.04569728507640491,1.2909813974853512,300,Student-t(df=3)
SARIMA Rolling,1.2194822164604882,0.8433861736819072,0.2114117246755013,1.4424419589331148,300,Student-t(df=3)
SARIMA Global,1.2283765651868994,0.8694744941757127,0.3983787078011992,1.3502033910710114,300,Student-t(df=3)
