Method,RMSE,MAE,Bias,Variance,N,Innovation
MS AR,1.1222545573845097,0.8028604985803877,-0.05489794170836222,1.2564415075664872,300,Student-t(df=5)
Rolling SARIMA,1.153061591543399,0.8137214085872109,-0.03455565625944963,1.328356940513075,300,Student-t(df=5)
Global SARIMA,1.2390580414020642,0.8700159979720942,-0.05955737815316838,1.5317177486706406,300,Student-t(df=5)
