Method,RMSE,MAE,Bias,Variance,Coverage80,Coverage95,LogScore,N,Break Type,Innovation
GARCH,1.8432323353426883,1.2883585649369915,0.00026559151644787765,3.3975053715140073,0.79,0.9333333333333333,-1.9965379087232658,300,Single,Student-t(df=5)
SARIMA Avg-Window,1.8655781517708838,1.3302895677486248,-0.015221752454046672,3.480150138617095,0.7633333333333333,0.9033333333333333,-2.066686870175596,300,Single,Student-t(df=5)
SARIMA Global,1.868334420370681,1.3133576018169781,-0.009795219953339604,3.4905775600079143,0.7066666666666667,0.8733333333333333,-2.1651844915042915,300,Single,Student-t(df=5)
SARIMA Rolling,1.872936027585629,1.335555776933127,-0.01580852241898574,3.507639454047165,0.7666666666666667,0.9066666666666666,-2.047737946475325,300,Single,Student-t(df=5)
