Method,RMSE,MAE,Bias,Var(error),N,Innovation
SARIMA + Break Dummy (oracle Tb),0.9788558547965187,0.7606877593805247,0.15682944561340828,0.9335633094580142,300,Gaussian
Simple Exp. Smoothing (SES),1.0597764603570479,0.8488446548227349,0.06442884148917687,1.118975070311276,300,Gaussian
Holt-Winters (additive),1.0979302722119493,0.8643303266153695,0.026603102598974124,1.2047431575715133,300,Gaussian
SARIMA Rolling,1.1424317936108728,0.9058634930172247,0.18332867507913023,1.2715409999466862,300,Gaussian
SARIMA Global,1.1482424032545722,0.8985223002945417,0.3800024606271186,1.1740587465491703,300,Gaussian
