Method,RMSE,MAE,Bias,Var(error),N,Innovation
SARIMA + Break Dummy (oracle Tb),1.107335555219705,0.7963785846592143,0.14657150344568212,1.2047088262314047,300,Student-t(df=5)
Simple Exp. Smoothing (SES),1.1173471178325296,0.8098754397780242,0.07903202622941528,1.2422185205587342,300,Student-t(df=5)
SARIMA Rolling,1.1533234247317792,0.8394989592007472,0.16980661368831582,1.3013206359827472,300,Student-t(df=5)
Holt-Winters (additive),1.1540087556367824,0.8284950488369026,0.0837400048573073,1.3247238196728532,300,Student-t(df=5)
SARIMA Global,1.18016666446286,0.8594360650462649,0.3084543934512779,1.2976492430699968,300,Student-t(df=5)
