Method,RMSE,MAE,Bias,Variance,Coverage80,Coverage95,LogScore,Successes,Failures,N,Break Type
MS AR(1),1.4787282947842402,1.1690744881363495,-0.20569604707878553,2.1443265060116685,0.79,0.9033333333333333,-1.9858949192951518,300,0,300,Recurring (p=0.95)
SARIMA Rolling,1.482576481579997,1.17308073440946,-0.1803027556236248,2.1655239400486503,0.8033333333333333,0.9466666666666667,-1.803462719974461,300,0,300,Recurring (p=0.95)
SARIMA Avg-Window,1.4876354420649824,1.1766121703929002,-0.18198146094122733,2.179941956361572,0.8233333333333334,0.9533333333333334,-1.795020682840958,300,0,300,Recurring (p=0.95)
SARIMA Global,1.4960485344843506,1.1794582375352414,-0.19781955994430214,2.1990286392362153,0.8266666666666667,0.9566666666666667,-1.8201943176766449,300,0,300,Recurring (p=0.95)
