Method,RMSE,MAE,Bias,Var(error),N,Innovation
SARIMA + Break Dummy (oracle Tb),1.8711565498290328,0.7949190398602746,0.223885601964591,3.4511020712010425,300,Student-t(df=3)
SARIMA Rolling,1.919444759368469,0.8726130756842058,0.2262409532078126,3.6330832153586994,300,Student-t(df=3)
Simple Exp. Smoothing (SES),1.919764166294731,0.8783040599741385,0.13701220596556263,3.6667221096057534,300,Student-t(df=3)
SARIMA Global,1.9204271433365205,0.8857583542127179,0.3331022410917711,3.577083309843309,300,Student-t(df=3)
Holt-Winters (additive),1.9370284331698187,0.8964005585443034,0.12872092327235038,3.7355100748202372,300,Student-t(df=3)
